iter	Passed	Remaining
0	0	69
1	1	64
2	1	62
3	2	64
4	3	65
5	4	65
6	4	63
7	5	63
8	6	61
9	6	60
10	7	59
11	8	59
12	8	58
13	9	57
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	54
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	50
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	28	38
42	28	37
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
